HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard,TimeInSeconds,ShotDistance,ShotAngle,ClusterID
1627484952783,2021-07-28 18:09:12,-15.0,57.0,42.8,3032,70,1,0,65352,3047.0277320694013,0.24445048055778784,0
1627484957184,2021-07-28 18:09:17,31.0,-38.0,42.2,3071,266,1,1,65357,3055.1621888207505,5.710593137499643,0
1627485031621,2021-07-28 18:10:31,-12.0,-132.0,33.3,-67,3090,1,0,65431,3222.469394734417,-89.02204784472046,1
1627485038267,2021-07-28 18:10:38,29.0,-62.0,32.4,-80,3174,1,0,65438,3237.8352336090234,-88.07080356589265,1
1627485052986,2021-07-28 18:10:52,15.0,-62.0,37.1,-128,3285,1,0,65452,3350.053432409698,-87.55353554054533,1
1627485060496,2021-07-28 18:11:00,57.0,178.0,39.6,-60,3449,1,0,65460,3273.0918105057794,-87.95146759314449,1
1627485065971,2021-07-28 18:11:05,-57.0,57.0,36.4,-45,3173,1,0,65465,3116.023106461183,89.77934982182457,1
1627485081918,2021-07-28 18:11:21,78.0,-91.0,48.4,-3577,-232,1,0,65481,3657.7186879255764,2.2092204897001273,1
1627485085722,2021-07-28 18:11:25,159.0,40.0,46.9,-3483,317,0,1,65485,3652.5187200067844,-4.349377795210402,1
1627485089384,2021-07-28 18:11:29,-48.0,-112.0,44.8,-3634,359,1,1,65489,3616.79927560267,-7.482631371997582,1
1627485092964,2021-07-28 18:11:32,-213.0,13.0,45.2,-3539,438,1,1,65492,3353.0435428130068,-7.281857139554738,1
1627485097059,2021-07-28 18:11:37,-41.0,-51.0,44.9,-3430,23,1,0,65497,3389.807811661304,-1.2508746066460563,1
1627485100591,2021-07-28 18:11:40,-152.0,-24.0,48.0,-3314,27,0,0,65500,3162.411263577209,-0.9240453527727062,1
1627485104496,2021-07-28 18:11:44,99.0,-52.0,44.8,-3577,56,1,0,65504,3677.5861648641217,-1.6828522013902463,1
1627485108448,2021-07-28 18:11:48,66.0,101.0,39.7,-3380,398,1,1,65508,3458.775072189575,-4.925971732087179,1
1627485112261,2021-07-28 18:11:52,101.0,78.0,41.6,-3610,476,1,1,65512,3732.281473844115,-6.1215001560015185,1
1627485115833,2021-07-28 18:11:55,-69.0,-152.0,48.7,-3423,-55,0,0,65515,3355.402360373492,-1.6565718228663442,1
1627485119449,2021-07-28 18:11:59,6.0,-36.0,47.8,-3327,378,1,1,65519,3358.6135532388957,-7.080581341569362,1
1627485123049,2021-07-28 18:12:03,41.0,20.0,47.5,-3326,479,1,1,65523,3398.142139463857,-7.762887886413185,1
1627485126666,2021-07-28 18:12:06,-1.0,70.0,48.8,-3198,581,1,1,65526,3237.580887020431,-9.081190008362428,1
1627485162554,2021-07-28 18:12:42,-89.0,93.0,44.8,-1102,2972,1,0,65562,3052.0173656124566,-70.61515637836247,1
1627485339110,2021-07-28 18:15:39,2.0,-30.0,38.4,23,3315,1,0,65739,3345.0659186329945,89.64030028026629,2
1627485343467,2021-07-28 18:15:43,-48.0,17.0,38.3,-57,3294,1,0,65743,3277.0123588415104,-89.84264244152789,2
1627485347583,2021-07-28 18:15:47,4.0,-48.0,41.4,-165,3497,1,0,65747,3549.0260635842055,-87.27061742277382,2
1627485351564,2021-07-28 18:15:51,26.0,43.0,43.1,-68,3447,1,0,65751,3405.297637505421,-88.41820361552979,2
1627485355886,2021-07-28 18:15:55,4.0,-91.0,52.7,-236,3322,1,0,65755,3421.4279182820733,-85.97761830147186,2
1627485363848,2021-07-28 18:16:03,23.0,-101.0,43.3,-124,3262,1,0,65763,3366.2112233191783,-87.49713898451617,2
1627485368244,2021-07-28 18:16:08,-15.0,216.0,48.0,-45,3667,1,0,65768,3451.1303945229306,-89.50193274742998,2
1627485372331,2021-07-28 18:16:12,-10.0,178.0,41.2,-142,3776,1,0,65772,3600.4205309935674,-87.89892926612067,2
1627485376889,2021-07-28 18:16:16,63.0,122.0,44.2,-364,3679,1,0,65776,3582.5379272242185,-83.15468592357838,2
1627485381709,2021-07-28 18:16:21,-40.0,19.0,42.4,-88,3405,1,0,65781,3386.340207362515,-89.18782834827886,2
1627485663343,2021-07-28 18:21:03,-166.0,-97.0,45.7,3463,-388,0,0,66063,3640.648568593239,-4.584588878379918,3
1627485667180,2021-07-28 18:21:07,-112.0,-67.0,52.1,3122,671,1,1,66067,3317.1373200396756,12.854795481726228,3
1627485670884,2021-07-28 18:21:10,-125.0,60.0,50.0,3244,508,1,1,66070,3398.656352148596,7.574590793507809,3
1627485674440,2021-07-28 18:21:14,361.0,-53.0,56.8,3267,712,0,1,66074,3005.005990010669,14.748415203497274,3
1627485677927,2021-07-28 18:21:17,212.0,-6.0,51.6,3292,621,1,1,66077,3143.1718056765526,11.506554143881829,3
1627485682228,2021-07-28 18:21:22,-113.0,-4.0,46.2,3292,487,1,1,66082,3440.2188883848657,8.205472899533248,3
1627485685730,2021-07-28 18:21:25,226.0,25.0,41.4,3444,621,0,1,66085,3272.72669191914,10.492752150415043,3
1627485689777,2021-07-28 18:21:29,-156.0,-115.0,47.7,2991,-187,0,0,66089,3147.823533808717,-1.3106376109400628,3
1627485694597,2021-07-28 18:21:34,-97.0,7.0,50.6,3199,505,1,1,66094,3333.4096657926702,8.591959049832894,3
1627485742119,2021-07-28 18:22:22,-169.0,54.0,39.4,25,4392,1,0,66142,4342.335776975337,87.43937760561057,3
1627485748025,2021-07-28 18:22:28,-16.0,166.0,40.1,181,4550,1,0,66148,4388.423976782553,87.42708018686393,3
1627485753601,2021-07-28 18:22:33,61.0,-37.0,40.8,-30,4549,1,0,66153,4586.902767663601,-88.86322900564413,3
1627485758890,2021-07-28 18:22:38,10.0,23.0,35.4,164,4372,1,0,66158,4351.725749630829,87.97197864574287,3
1627485763552,2021-07-28 18:22:43,-59.0,230.0,37.1,-73,4781,0,0,66163,4551.021533677906,-89.82374458736571,3
1627485768209,2021-07-28 18:22:48,-25.0,31.0,37.8,96,4458,1,0,66168,4428.653294174201,88.4343655508585,3
1627485813430,2021-07-28 18:23:33,-65.0,-120.0,40.5,-4835,-572,0,0,66213,4791.367654438553,5.413122291508923,3
1627485818312,2021-07-28 18:23:38,162.0,94.0,37.0,-4830,1031,0,1,66218,5079.176409616031,-10.630742591090087,3
1627485824045,2021-07-28 18:23:44,26.0,-28.0,38.8,-4828,1340,1,1,66224,5043.088339499914,-15.739397908118333,3
1627485829400,2021-07-28 18:23:49,30.0,101.0,36.0,-5178,1210,1,1,66229,5324.767131058409,-12.021107326888481,3
1627485834841,2021-07-28 18:23:54,57.0,2.0,39.3,-5104,1198,1,1,66234,5297.767171176929,-13.047307396442184,3
1627485840164,2021-07-28 18:24:00,-55.0,39.0,39.0,-4994,1256,1,1,66240,5086.728811328554,-13.842280524838605,3
1627485845429,2021-07-28 18:24:05,-60.0,36.0,39.0,-4881,1607,1,1,66245,5070.511019611337,-18.049028241114552,3
1627485854883,2021-07-28 18:24:14,64.0,138.0,28.7,-3306,2084,0,0,66254,3891.5056212216887,-30.004202554547124,3
1627485864932,2021-07-28 18:24:24,99.0,21.0,44.0,-3448,2269,1,0,66264,4199.37054807027,-32.36550187813831,3
1627485884058,2021-07-28 18:24:44,11.0,51.0,37.5,-2995,2338,1,0,66284,3777.0894879523307,-37.264302395039095,3
1627485895323,2021-07-28 18:24:55,13.0,-45.0,38.8,-3108,2464,1,0,66295,4004.4627604711222,-38.796114792709695,3
1627485906067,2021-07-28 18:25:06,27.0,-20.0,38.4,-3297,2626,1,0,66306,4248.5635219447995,-38.520802445072704,3
1627485940171,2021-07-28 18:25:40,-18.0,53.0,42.9,-6699,479,1,1,66340,6694.567723161817,-3.648406514489708,3
1627485943352,2021-07-28 18:25:43,-138.0,105.0,42.0,-7067,148,0,0,66343,6929.133423452026,-0.3555616816623162,3
1627485946556,2021-07-28 18:25:46,-19.0,117.0,41.4,-7031,502,1,1,66346,7022.561427285631,-3.142719407760318,3
1627485949809,2021-07-28 18:25:49,-146.0,109.0,41.1,-7019,221,0,0,66349,6873.912495806155,-0.9335893171958788,3
1627485954196,2021-07-28 18:25:54,99.0,-16.0,40.6,-6694,496,1,1,66354,6812.267830906239,-4.310330808791256,3
1627485957677,2021-07-28 18:25:57,7.0,-76.0,39.2,-7106,-439,1,0,66357,7122.256524445044,2.92145935206596,3
1627485961083,2021-07-28 18:26:01,145.0,-16.0,41.1,-7246,441,1,1,66361,7405.115124020693,-3.5382057293278373,3
1627485971468,2021-07-28 18:26:11,-76.0,23.0,40.6,-4473,3411,1,0,66371,5550.869571517602,-37.615163208298675,3
1627485977162,2021-07-28 18:26:17,-2.0,-10.0,37.6,-4044,3394,1,0,66377,5284.409143887327,-40.102653543667564,3
1627485982614,2021-07-28 18:26:22,-47.0,140.0,39.5,-4713,3640,0,0,66382,5832.8000137155395,-36.87382685853249,3
1627485988148,2021-07-28 18:26:28,78.0,65.0,42.3,-4714,3552,1,0,66388,5926.418226888818,-36.04230008397411,3
1627485994270,2021-07-28 18:26:34,-46.0,-89.0,37.1,-4499,3607,1,0,66394,5787.022118499289,-39.69274933497598,3
1627486000383,2021-07-28 18:26:40,-20.0,56.0,37.5,-4335,3401,1,0,66400,5459.693214824438,-37.782942317399794,3
1627486008417,2021-07-28 18:26:48,69.0,185.0,35.6,-1504,4401,0,0,66408,4499.887220808984,-69.5393309216456,3
1627486018142,2021-07-28 18:26:58,76.0,-23.0,36.1,-2059,4391,1,0,66418,4903.225570988959,-64.18749081012994,3
1627486027693,2021-07-28 18:27:07,-3.0,221.0,39.1,-1794,4478,0,0,66427,4618.412064768582,-67.18259379768806,3
1627486038009,2021-07-28 18:27:18,171.0,-101.0,34.6,-1454,3880,0,0,66438,4299.882091406694,-67.79526260185136,3
1627486048432,2021-07-28 18:27:28,1.0,187.0,37.1,-1511,4310,0,0,66448,4391.500085392234,-69.86083835667327,3
1627486060291,2021-07-28 18:27:40,51.0,-19.0,36.2,-1360,4251,1,0,66460,4497.090281504253,-71.71412220291991,3
1627486070939,2021-07-28 18:27:50,-29.0,-60.0,35.3,-1266,3993,1,0,66470,4237.567462589829,-73.02749526523793,3
1627486081481,2021-07-28 18:28:01,25.0,-44.0,35.6,-1830,3683,1,0,66481,4163.11830242668,-63.53958166951563,3
1627486092715,2021-07-28 18:28:12,165.0,-130.0,39.3,-848,2886,0,0,66492,3181.575867396533,-71.43407009834085,3
1627486104650,2021-07-28 18:28:24,11.0,1.0,40.5,-850,3040,1,0,66504,3158.613936523424,-74.18167867894115,3
1627486114223,2021-07-28 18:28:34,-51.0,38.0,40.4,-4272,5347,1,0,66514,6782.5011610762,-51.51301921953282,3
1627486117669,2021-07-28 18:28:37,-125.0,84.0,40.6,-5102,5817,0,0,66517,7591.957455096808,-49.03771062097712,3
1627486120859,2021-07-28 18:28:40,-97.0,43.0,37.9,-4624,5326,1,0,66520,6957.285246416162,-49.40674461122355,3
1627486124371,2021-07-28 18:28:44,-62.0,-93.0,38.8,-4776,5793,1,0,66524,7541.007359763018,-51.309340357860215,3
1627486127881,2021-07-28 18:28:47,-202.0,-54.0,40.5,-4588,5571,0,0,66527,7132.8550384821365,-52.055269778021334,3
1627486131240,2021-07-28 18:28:51,-20.0,27.0,39.8,-4532,4999,1,0,66531,6714.084300930395,-47.77682623546769,3
1627486134506,2021-07-28 18:28:54,74.0,-213.0,41.2,-4455,5360,0,0,66534,7181.237358561545,-50.900335874216616,3
1627486138392,2021-07-28 18:28:58,-30.0,86.0,44.2,-4976,5894,1,0,66538,7628.615863969033,-49.5828150291478,3
1627486153998,2021-07-28 18:29:13,32.0,78.0,39.3,-69,4586,1,0,66553,4509.131291058179,-88.71652490025556,3
1627486160849,2021-07-28 18:29:20,-31.0,6.0,33.9,-60,4246,1,0,66560,4240.099173368472,-89.6081245998041,3
1627486166878,2021-07-28 18:29:26,98.0,-31.0,38.1,-136,4384,1,0,66566,4421.196783677469,-86.96609753861915,3
1627486172155,2021-07-28 18:29:32,-78.0,191.0,37.7,77,4591,0,0,66572,4402.729267170535,87.98246023552343,3
1627486177569,2021-07-28 18:29:37,42.0,2.0,36.9,139,4286,1,0,66577,4285.098015215054,88.7029082314314,3
1627486182967,2021-07-28 18:29:42,8.0,-23.0,37.0,80,4191,1,0,66582,4214.615047664496,89.0211450485857,3
1627486258175,2021-07-28 18:30:58,141.0,137.0,35.0,1610,4284,0,0,66658,4399.496562107987,70.49422672229103,4
1627486267141,2021-07-28 18:31:07,-43.0,-134.0,34.4,1487,3829,0,0,66667,4248.0900414186135,68.88986342467774,4
1627486276192,2021-07-28 18:31:16,63.0,-116.0,34.8,1318,4457,1,0,66676,4742.083297454822,74.65374730118317,4
1627486285060,2021-07-28 18:31:25,47.0,-77.0,37.5,1572,4179,1,0,66685,4520.969033293637,70.28650085206775,4
1627486295046,2021-07-28 18:31:35,-87.0,-239.0,34.4,1523,3794,0,0,66695,4342.486499691162,68.23779223822204,4
1627486306593,2021-07-28 18:31:46,-19.0,109.0,35.0,1846,3888,1,0,66706,4214.150685488121,63.732886623120066,4
1627486317066,2021-07-28 18:31:57,84.0,-29.0,33.3,1815,4016,1,0,66717,4399.8165870863295,66.83218792529276,4
1627486328121,2021-07-28 18:32:08,56.0,59.0,30.2,1925,3544,1,0,66728,3954.539922671157,61.7954109312533,4
1627486342362,2021-07-28 18:32:22,-58.0,-52.0,37.0,-1712,3935,1,0,66742,4316.466726386293,-67.46896722973277,4
1627486351710,2021-07-28 18:32:31,-55.0,-19.0,38.5,-1272,4456,1,0,66751,4637.533180474292,-74.78605761978561,4
1627486361650,2021-07-28 18:32:41,49.0,-59.0,35.6,-1104,4427,1,0,66761,4631.803644370085,-75.58573048272203,4
1627486371729,2021-07-28 18:32:51,27.0,-84.0,34.8,-895,4599,1,0,66771,4772.899852291058,-78.86192845216328,4
1627486381549,2021-07-28 18:33:01,-17.0,169.0,40.1,-1197,4172,1,0,66781,4173.29713775571,-73.57559455582673,4
