HitTime,HitLocalTime,HitX,HitY,Arc,OriginX,OriginY,Made,HitBackboard
1627575208197,Thu Jul 29 2021 19:13:28 GMT+0300 (Israel Daylight Time),-94.0,169.0,54.5,-2662,2053,FALSE,FALSE
1627575211814,Thu Jul 29 2021 19:13:31 GMT+0300 (Israel Daylight Time),-26.0,88.0,47.6,-2403,2354,TRUE,FALSE
1627575215141,Thu Jul 29 2021 19:13:35 GMT+0300 (Israel Daylight Time),-119.0,72.0,46.8,-2402,2203,FALSE,FALSE
1627575218638,Thu Jul 29 2021 19:13:38 GMT+0300 (Israel Daylight Time),-76.0,106.0,46.9,-2463,2451,FALSE,FALSE
1627575222179,Thu Jul 29 2021 19:13:42 GMT+0300 (Israel Daylight Time),-60.0,11.0,46.5,-2306,2293,TRUE,FALSE
1627575225483,Thu Jul 29 2021 19:13:45 GMT+0300 (Israel Daylight Time),-20.0,-41.0,45.2,-2473,2362,TRUE,FALSE
1627575228592,Thu Jul 29 2021 19:13:48 GMT+0300 (Israel Daylight Time),-58.0,8.0,43.7,-2488,2398,TRUE,FALSE
1627575231710,Thu Jul 29 2021 19:13:51 GMT+0300 (Israel Daylight Time),101.0,-128.0,45.2,-2349,2364,FALSE,FALSE
1627575235211,Thu Jul 29 2021 19:13:55 GMT+0300 (Israel Daylight Time),-34.0,7.0,45.0,-2563,2401,TRUE,FALSE
1627575238436,Thu Jul 29 2021 19:13:58 GMT+0300 (Israel Daylight Time),-105.0,70.0,45.3,-2562,2458,FALSE,FALSE
1627575241743,Thu Jul 29 2021 19:14:01 GMT+0300 (Israel Daylight Time),22.0,-8.0,46.4,-2670,2415,TRUE,FALSE
1627575244921,Thu Jul 29 2021 19:14:04 GMT+0300 (Israel Daylight Time),21.0,-42.0,44.2,-2452,2362,TRUE,FALSE
1627575248879,Thu Jul 29 2021 19:14:08 GMT+0300 (Israel Daylight Time),-7.0,-56.0,43.4,-2582,2452,TRUE,FALSE
1627575252215,Thu Jul 29 2021 19:14:12 GMT+0300 (Israel Daylight Time),-10.0,-22.0,43.9,-2504,2418,TRUE,FALSE
1627575256162,Thu Jul 29 2021 19:14:16 GMT+0300 (Israel Daylight Time),18.0,6.0,44.0,-2558,2414,TRUE,FALSE
1627575262139,Thu Jul 29 2021 19:14:22 GMT+0300 (Israel Daylight Time),-106.0,-32.0,49.0,-3016,366,TRUE,TRUE
1627575265283,Thu Jul 29 2021 19:14:25 GMT+0300 (Israel Daylight Time),93.0,89.0,46.9,-3098,374,TRUE,TRUE
1627575268372,Thu Jul 29 2021 19:14:28 GMT+0300 (Israel Daylight Time),92.0,-5.0,49.5,-3062,380,TRUE,TRUE
1627575271661,Thu Jul 29 2021 19:14:31 GMT+0300 (Israel Daylight Time),109.0,-16.0,44.8,-3125,3,TRUE,FALSE
1627575274877,Thu Jul 29 2021 19:14:34 GMT+0300 (Israel Daylight Time),186.0,6.0,45.8,-3178,341,TRUE,TRUE
1627575278428,Thu Jul 29 2021 19:14:38 GMT+0300 (Israel Daylight Time),-150.0,-24.0,46.6,-3036,245,FALSE,TRUE
1627575281713,Thu Jul 29 2021 19:14:41 GMT+0300 (Israel Daylight Time),11.0,-71.0,46.7,-3125,2,TRUE,FALSE
1627575284922,Thu Jul 29 2021 19:14:44 GMT+0300 (Israel Daylight Time),179.0,16.0,47.1,-3210,295,FALSE,TRUE
1627575288362,Thu Jul 29 2021 19:14:48 GMT+0300 (Israel Daylight Time),29.0,30.0,43.4,-3135,296,TRUE,TRUE
1627575291520,Thu Jul 29 2021 19:14:51 GMT+0300 (Israel Daylight Time),-63.0,2.0,44.0,-3238,241,TRUE,TRUE
1627575294627,Thu Jul 29 2021 19:14:54 GMT+0300 (Israel Daylight Time),-38.0,-36.0,48.9,-3236,281,TRUE,TRUE
1627575297673,Thu Jul 29 2021 19:14:57 GMT+0300 (Israel Daylight Time),134.0,0.0,48.8,-3262,330,TRUE,TRUE
1627575303493,Thu Jul 29 2021 19:15:03 GMT+0300 (Israel Daylight Time),-248.0,-19.0,48.0,-4029,178,FALSE,FALSE
1627575307218,Thu Jul 29 2021 19:15:07 GMT+0300 (Israel Daylight Time),-23.0,41.0,43.7,-4606,335,TRUE,TRUE
1627575310449,Thu Jul 29 2021 19:15:10 GMT+0300 (Israel Daylight Time),98.0,-92.0,41.8,-4308,395,TRUE,TRUE
1627575313648,Thu Jul 29 2021 19:15:13 GMT+0300 (Israel Daylight Time),-49.0,-28.0,45.0,-4481,250,TRUE,TRUE
1627575316833,Thu Jul 29 2021 19:15:16 GMT+0300 (Israel Daylight Time),29.0,-63.0,41.5,-4604,389,TRUE,TRUE
1627575320065,Thu Jul 29 2021 19:15:20 GMT+0300 (Israel Daylight Time),30.0,27.0,42.7,-4655,312,TRUE,TRUE
1627575323247,Thu Jul 29 2021 19:15:23 GMT+0300 (Israel Daylight Time),251.0,72.0,40.7,-4642,252,FALSE,TRUE
1627575326874,Thu Jul 29 2021 19:15:26 GMT+0300 (Israel Daylight Time),7.0,-30.0,38.3,-4785,304,TRUE,TRUE
1627575329992,Thu Jul 29 2021 19:15:29 GMT+0300 (Israel Daylight Time),-49.0,0.0,38.4,-4612,16,TRUE,FALSE
1627575333219,Thu Jul 29 2021 19:15:33 GMT+0300 (Israel Daylight Time),142.0,19.0,41.8,-4692,260,TRUE,TRUE
